127.0.0.1 - - [10/Nov/2015:23:44:10 +0100] "GET /web/Serv HTTP/1.1" 200 375
127.0.0.1 - - [10/Nov/2015:23:51:50 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:50 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:50 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:50 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:51 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:51 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:51 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:51 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:51 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:52 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:52 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:52 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:52 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:52 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:53 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:53 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:53 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:53 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:53 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
127.0.0.1 - - [10/Nov/2015:23:51:54 +0100] "POST /WS/services/AdminService HTTP/1.0" 404 1010
